Tweet,Label
"@xjmnieluv Mkanyhh pke indiehom, dijamin jaringan sperti rollercoaster👍",Sarkasme
jaringan ku jelek polll ga bisa liat gambar,BukanSarkas
jaringan malam ini jelek bgt,BukanSarkas
jaringan axis knp si lemot banget 🤧😤,BukanSarkas
"ya tuhan,  jaringan telkomsel di mangkutana jelek banget",BukanSarkas
Jaringan disini tai banget dah kalau malem,BukanSarkas
pls jaringan gue jelek bgt sebel mau marag,BukanSarkas
"soalnya kadang jaringan gabisa diajak kompromi buat ke web😭""",BukanSarkas
jele bener ini jaringan zzzzzzz,BukanSarkas
LAMGIT BISAKAH SINYAL JARINGAN AKU BAGUS AKU MAU STREAMING SMTM10,Sarkasme
"Kayaknya aku harus menunggu sub ajaaa, jaringan bangetttt, nangis😭😭😭",BukanSarkas
"masih pagi jaringan @Telkomsel  udah jelek bangeeeet, jangankan pake app lain, kirim wa  aja delay terus🙃 gimana nih min? https://t.co/MCo4yPj9Bh",BukanSarkas
@IndiHomeCare makasih indihome jaringan aku stabil terus buat wfh. Semoga selalu sukses 🥰😍,BukanSarkas
"@IndiHomeCare mantap, jaringan indihome ku kenceng bangetzzzz",Sarkasme
PLISS LAGI SERU SERUNYAAA malah hilanh jaringan karna hujan.. baek baek dah:),Sarkasme
udah bosen jaringan sebercanda ini,BukanSarkas
jaringan hari ini jelek bgt,BukanSarkas
"Udah enak2 menang, kenapa malah kalah lagi -___- ga didukung sama team yg bener sama jaringan ga stabil banget -___-",BukanSarkas
@joyuql BISA KK BIASANYA PURA PURA JARINGAN JELEK TAPI MINGGU LALU CIEL UDAH PURA PURA JARINGAN JELEK 😭,BukanSarkas
@myXLCare Min ini kenapa jaringan xl bobrok banget dari kmren,BukanSarkas
"Jaringan telkomsel astagfirulloh,bisa2 ny H+😭",BukanSarkas
"ini jaringan kenapa :"")) muter mutee terus",BukanSarkas
demi Allah ini jaringan abis ujan bapuk bgt elah kesel,BukanSarkas
"@myXL Min mau tanya jaringan XL daerah lebak gedong, Lebak(Banten) kenapa no service ya dari malam, mohon untuk segera di tindak lajuti ya min😇",BukanSarkas
@tabiinad anjing kenapa deh kok dimiripin sama jaringan,Sarkasme
"@brownchiies Itu mah udah dari sore ngirimnya tapi baru kekirim sekarang gara"" jaringan gw lelet😭",BukanSarkas
"Gue baru bangun, kemaren tidur abis isya beneran depresot sm hasil ujian gue gegara jaringan tai, sia sia bgt belajar😭👍🏻",BukanSarkas
"@svtreet nyalain aja mode pesawat, nanti bilang jaringan gangguan.",BukanSarkas
"RT @RedolentSuwuh: Kejadian ini sudah sangat sering terjadi dan sangat mohon ditindaklanjuti, apalagi kami memerlukan jaringan telepon dan…",BukanSarkas
Kenapa setiap jaringan ku hilang sw selalu lewT 😔,BukanSarkas
"@IndiHomeCare Makasih IndiHome udah bantuin briefing pagi"". Jaringan lancar 👍👍",BukanSarkas
Hujan hujan gini berharap jaringan smansa gangguan,BukanSarkas
Pagi jam 7 jaringan seluler di Sugapa kembali aktif.,BukanSarkas
"Asu bgt nii jaringan, mau uts malah ilang2an mulu anjrit",BukanSarkas
@IndiHomeCare yuk pakai IndiHome jaringan lancar Banget dan aman terkendali jadi mudah untuk menjalani aktivitas sehari-hari 💜,BukanSarkas
"@IndiHomeCare Yuk semua, Tak perlu ragu pake IndiHome jaringan stabil dan kencang, dijamin kegiatan belajar di rumah jadi aman terkendali ❤️❤️",BukanSarkas
"@triindonesia Mudah dan cepat selalu bisa diandalkan, jaringan lancar cus beralih ke @triindonesia buruanlah @Anaria_Missdio @hadias_ARI @didikregaz ",Sarkasme
Hadeh jaringan-jaringan... Bermasalah mulu lo 😑,BukanSarkas
@Telkomsel Sudah saya on offkan tetapi jaringan sinyalnya masih H+ padahal biasanya 4G+ ini sudah hampir 1 minggu ini setiap hari no. saya 082232898683,BukanSarkas
@IndiHomeCare Jaringan IndiHome lancar terus nih. Alhamdulillahhh WFH gada kendala,Sarkasme
"RT @jikookempire: jaringan di tempatku lagi troubleee, jadi ga lanjut update dulu ya mentemennn 🥲",BukanSarkas
@304time Jaringan jelek gak dibolehin main sih:( https://t.co/t1vQaemMfI,BukanSarkas
"Karna Jaringan Kartu Selulernya Lelet, Seorang Pemuda Kini Memasukan Kartu BPJS Ke HP Blackberry nya",Sarkasme
Jaringan kita musuhan aja yuk,BukanSarkas
IHHHH APASIHHH JARINGAN NGELEG BANGETTTTTTTT 😫😫😫😫😫😫,Sarkasme
@smartfrenworld min jaringan lg knp nih masa dr semalem gak ada sinyal gw??,BukanSarkas
@Telkomsel Sampe seminggu lebih perbaikan bts yang gangguan jaringan itu? Apa gak ke detect di sistem kalian? Bobrok amat sih BUMN skrg,BukanSarkas
"Bisa2nya indosat mati jaringan di jam segini:"")",BukanSarkas
Alhamdulillah sekarang jaringan sudah normal kembali.,Sarkasme
jaringan indihome kenapa inii 🤬,Sarkasme
harus ganti tsel ni kalo udh dikantor asli semua jaringan gada selain tsel hehe,BukanSarkas
"@convomf GAK KOKKK, bagus malah on cam! Aku ga on cam juga kadang soalnya jaringan gabagus :(",BukanSarkas
"klo ga oncam disindir dosen anjirr, tp smkn kesini alesan jaringan jele aja si ahahah https://t.co/sPSNZaqGY9",BukanSarkas
Jaringan setan DL udah lewat ya njing masih aja lu lemot bangsat🙂 https://t.co/MzkqBW7qha,BukanSarkas
@prettiestdoII WE JARINGAN CACAD AKU MAU DENGERINN,BukanSarkas
siaapaa live? jaringan gue minta di timpuk,Sarkasme
jaringan ngajak ribut banget 🤧🤧,BukanSarkas
@IndiHomeCare masih pemeliharaan jaringan sampe skrg? gila kali kau lemot tiap saat.,Sarkasme
"@IndiHomeCare Alhamdulillah kabar baik min, semoga kalian para admin selalu sehat dimanapun kalian bekerja, btw saya tim WFH yang ditemani jaringan internet IndiHome yang lancar jayaaa",Sarkasme
@zjenoa Jaringan gua bermasalah van 😔,BukanSarkas
apaan nih Telkomsel tiba2 ilang jaringan,BukanSarkas
@eyesblrz Bayar WiFi mahal tp jaringan nya kadang jelek juga,BukanSarkas
semua jaringan internet sedang tidak baik baik saja,BukanSarkas
"Maap ya temen temen, mental mulu. Jaringan aku gembel soalnya😪",BukanSarkas
sumpah jaringan gue jelek bgtt asjsksisk,BukanSarkas
@cyatttseu JARINGAN KU JELE BANGET ITEM,BukanSarkas
Mo solo rank tpi jaringan hwaa😑,BukanSarkas
halo @FirstMediaCares ini ada gangguan jaringan dr tadi siang kenapa ga bener2 yaaa,BukanSarkas
"Ada apa di area samarinda min, kok jaringan mati?? 
Ini kalo saya keluar kantor, mati total internet saya, jadi gak bisa kerja..
Mohon solusinya @IndosatCare https://t.co/CeRUGNqFDo",BukanSarkas
"jaringan nakal, aku lagi telfonan sama temen ku jadi putus""😡",BukanSarkas
@NEOXGENCY mungkin jaringan nya lelah jaringan pun lelah sama ocy🤣🤣🤣🤣,BukanSarkas
@IndosatCare jaringan hilang dari sore..belom ada tanda-tanda kembali normal,BukanSarkas
Gue belum dengerin ulang yours💔 tadi kepotong² jaringan jeleknya,BukanSarkas
SYALAND G BISA NONTON LAGI ANJ JARINGAN KON-,Sarkasme
@apelteaa Dari segi jaringan beda mungkin Mawar,BukanSarkas
@stnael666 Tp 3 gada jaringan mulu hahshsh😭,BukanSarkas
@FirstMediaCares Internet saya gangguan sudah 2x di minggu yg sama. Tolong kirim teknisi secepatnya min. No id ; 11941249 . Cek jaringan dri web nya first media sinyal normal tp internet no connection. CS juga ga ada yg bsa di tlp semua sibuk,BukanSarkas
"@IndiHomeCare Happy pake IndiHome,  jaringan bagus walau masuk pedalaman. Thanks",Sarkasme
"@IndiHomeCare Alhamdulillah jaringan mantul, 
 WFH lancar. Makaziiiii IndiHome",Sarkasme
 Hari ini udah 3 hari anjing? Jaringan masih lelet kayak gini mending ganti kartu,BukanSarkas
"@myXLCare ini jaringan XL kenapa?? Data masih banyak, sudah beli booster lengkap tp msh lemot, buat buka app @gojekindonesia gagal terus, niat jualan data ga?? Atau hanya mau PHP cust?? Telp CS jawabnya cuma suruh restart hp, peralatan XL yg lemot jgn HP cust disalahin terus 🤧 https://t.co/fitVYKveMZ",BukanSarkas
"Kirain whatsapp down lagi, ternyata kamu @FirstMediaCares yang banyak tingkah lagi lagi dan lagiiiii.. tolong cek jaringan id pelanggan 10637338 yang ternyata sudah stuck sejak semalem.. kapan jaringan bisa normal?? Ini udah pagi.. udah mau jam kerja.. thx..",Sarkasme
"@IndiHomeCare Tai lah, ujung2 pasti jawabannya lagi pemeliharaan jaringan",Sarkasme
"Kirain hpku bermasalah gak bisa nangkap jaringan, ternyata pas di ubah ke kartu lain baik-baik aja. @IndosatOoredoo",BukanSarkas
INI JARINGAN KENAPA ANJINGFG,Sarkasme
"@triindonesia sudah 3 hari jaringan internet tri mati atau cuma H+ atau 3G di kecamatan kedamean, kabupaten gresik, jawa timur. Kenapa begitu lama dan tdk segera di bereskan?",BukanSarkas
@IndosatCare jaringan di makassar lg bermasalah ya?,BukanSarkas
@ask_AXIS  apa kah bener jaringan 3G di matikan mohon di jawab,BukanSarkas
@geminiurs HEHH IYAaa W JUGA DOWN BANGET GADA SAMA SKLI JARINGAN HUHU,BukanSarkas
@IndiHomeCare min mau kasih tau jaringan udah kepasang nih. makasih ya jadi bisa internetan lancar🙏🏼,BukanSarkas
nyebelin banget jaringan pagi pagi 😤,BukanSarkas
RT @NUgarislucu: Termasuk bangkitnya lagi ITJ (Indonesia Tanpa Jaringan) 🤣,Sarkasme
"Jaringan @IndiHomeCare the best emang, semua kerjaan #Pastiberes :)",BukanSarkas
@Telkomsel KENAPA SIH JARINGAN @simPATI @Telkomsel LEMOT MULU TIAP HARI 😠😠😠😠😠😠😠😠😠😠😠😠😠😠,BukanSarkas
@IndiHomeCare mantap malem ini jaringan lancar bangetttt min,Sarkasme
tadi nonton sempet kehalang sama jaringan banyak bgt cobaan🥲✊🏼,BukanSarkas
Jumping bgt jaringan,BukanSarkas
pls help indosat lg knp si?jaringan gue 3G mulu ga bs buka apa2 anj :( #indosatgangguan kagak ngasih aba2 dlu kek,BukanSarkas
Jaringan jelek bgt euy,BukanSarkas
"@IndosatCare Apasih masalah kalian? Beli kuota mahal"", jaringan 4g tapi kyk gini💩 https://t.co/ZB0F2CUWTz",BukanSarkas
Ilang jaringan gg bngt.,BukanSarkas
@alziofaaz Wkwkwkw jaringan sayang 😭,Sarkasme
@IndiHomeCare halo kak jaringan internet saya LOS gak ada jaringan internet,BukanSarkas
"admin tlg jaringan sy sering ngadat, jarringan sering RTO. ini nmr ny 161601232144 a/n rivo juhendra. mohon di check soalnya sy kerja via internet &amp; sy jg pelanggan lama. tkut ny ODP penuh di paksa masuk untk pelanggan baru akhirny over kapasitas. tolong jg buat kecewa @IndiHome",BukanSarkas
@hokinadbigwin Kirain cuma jaringan di papua yang trabaik ternyata se-Indonesia ee.. 🤦🏽,Sarkasme
"Satu jam jaringan wifi indihome sama telkom ngga bisa dipakai sama sekali, satu rumah. Ngga hp aku tapi hp mama juga.",BukanSarkas
Bisa-bisanya jaringan telkomsel tengaj malem ilang wkwkwk,BukanSarkas
@wennyrad @ragunanzoo @smartfrenworld Ini nih provider mantab tanpa jaringan lelet lancar terus,Sarkasme
@byu_id NGENTOT JARINGAN LO BURIK AMAT ANJENG,BukanSarkas
Indihome sama jaringan data telkomsel gua km kenapa siiiiii gabisa internetannnnnnnn,BukanSarkas
"Indihome kalo pemeliharaan jaringan ga ada notifikasi.
Kalo ada tagihan langsung dikasih notifikasi.",Sarkasme
@telkomsel gua ada salah apa sih sama lu? Sinyal dirumah gua gak ada. Dulu dirumah gua selalu bagus anjrit downgrade banget jaringan lu,BukanSarkas
"@Telkomsel saya sudah ganti fisik kartu tetep saja sering ilang sinyal malah lebih parah dari sebelum ganti fisik kartu dan sudah mencoba segala cara dari klik seting jaringan dari auto ke manual dan sebaliknya, dari di buat model modus pesawat, dll. Bagaimana ini.",BukanSarkas
lalu malam ini di gigit apa lagi indihome ? tiba tiba terputus jaringan,BukanSarkas
"@Telkomsel bener-bener aja nih ilang dong jaringan indohome sama by u nya, tolonglahh",BukanSarkas
Ini kabel indihome dimaling lagi atau gmn nih tiba2 gak ada jaringan,BukanSarkas
@IndiHomeCare  min wifi ko tbtb jaringan lampu indikator wifii merah,BukanSarkas
"@IndiHomeCare oi min, jaringan internet megalelet, tb2 lost connection..",BukanSarkas
"@FirstMediaCares min,,,sumpah dah,,udah hampir 3 bulan,,kaya gini,,speed,naik turun,buffer teruss,masa kalah sama jaringan provider kartu,pengen gw putus nich,ganti oxygen,harga lebih murah lagi,speed sama,
ini udah harga tinggi,bayar full terusss,Hufffttttt,
di rumah,ID 10965998",BukanSarkas
"dih jaringan nya lemot bgt, ke kirimnya malah jam 0.01😒",BukanSarkas
"padahal skrg bokep basisnya di grup2 telegram.
vpn lancar jaya.
jd mending itu duit pake bikin jaringan internet di pelosok.
bintuni salah satunya. https://t.co/0e9vX3aTTx",BukanSarkas
Kalau siang jaringan tdk mendukung,BukanSarkas
"Boleh mati lampu, tapi jaringan bagus kek yaAllah",Sarkasme
"banyak yg space, pengen join, tapi jaringan lagi jelek 😞",BukanSarkas
@FirstMediaCares uda 2 hari jaringan internet tidak ada,BukanSarkas
gue lg asik bikin peta tiba tiba indihome gue kenapa gaada jaringan di anuannya juga warna merah apa karena ak banyak baca privatter? gamungkin si,BukanSarkas
yg ngeselin telkomsel sih jaringan 4g tapi ga bisa udah 2 hari lagi zzzz ngeselin bet ini,BukanSarkas
"Mati lampu, hujan, batre hp 8%, batre laptop 20%, deadline malam ini dan jaringan 🌲 nggak stabil mantapp....",Sarkasme
"jam segini jaringan baru lancar, mkst low aph",Sarkasme
ayondong bagus jaringan biar kelarin markah,Sarkasme
INI JARINGAN GUA JELEK BANGET ANJIRT,BukanSarkas
@triindonesia 2 hari jaringan h+ terus!!!,Sarkasme
@triindonesia JARINGAN LAG AJGG,BukanSarkas
"Ni jaringan lagi kenapa sih anjing, dimana mana jelek bangsat",BukanSarkas
Bete banget gegara ujan deres jaringan internet ngadat dong sampai sekarang 😢,BukanSarkas
Yaampun malem ini jaringan wifi jelek banget nget ngetttt:((((,BukanSarkas
@yoonn1ez Plis saya mau liat gambarnya tapi jaringan gw loding anjir🙏,BukanSarkas
@Telkomsel jaringan jelek ko tiap hari?,BukanSarkas
"Krna jaringan mulai ngadat jdi aku cukupkan dulu nghun nya lanjut nnti siang lgi xixi smoga balik"" Win aamiin! ❤🔥",BukanSarkas
Min @XLCenter ini jaringan kenapa jelek terus sih? Udah semingguan lebih kayak gini. Internetan susah.,BukanSarkas
Ohhh akhir nya jaringan di daerah Sha kembali agsgahsgakjs. capek beberapa hari tanpa jaringan😭 wifi pun tak bisa.,BukanSarkas
"@3CareIndonesia Gangguan Mulu ajg nih jaringan, dikira beli ngk pake uang",BukanSarkas
"Jaringan @IndiHome ok, admin @IndiHomeCare mantul 👍🏻 gercep abisss",Sarkasme
"karena Jaringan Yg Tidak Mendukung 
Bukan Nya Aku Alasan Atau pun Gk berani Angkat Emang jaringan sinyal lagi susah karena hujan tiap hari",BukanSarkas
telkom paling ngetop soal jaringan burik,Sarkasme
@IndiHomeCare indihome jaringan kyk kampret.. bentar2 disconek.. sampah..!!,BukanSarkas
"Hallo, pemeliharaan jaringan hampir tiap malam ya sekarang? Kok ga bisa digunain lagi ya malem ini? @IndiHomeCare",BukanSarkas
@FirstMediaCares Sewa satelit min biar jaringan bagus ... .. biar ngak selamanya sepanjang abad ke 21 tidak memalukan perusahaan,BukanSarkas
Jaringan tolol bgt hari ini,BukanSarkas
@FirstMediaCares Kasian sekali hanya sibuk menanyakan no id pelanggan karena tdk mampu memperbaiki jaringan ... dan ahli memberikan tagihan tiap bulan berharap pelanggan bayar tepat waktu tapi pelayanan sangat mengecewakan,BukanSarkas
"@TretanMuslim @IndiHome Isp terbaik dlm membuat org nambah dosa, lord gaben udh bersabdah i****ome jaringan terburuk bersebelahan dg satumedia",BukanSarkas
di ghosting jaringan dua kali…,BukanSarkas
jaringan ihhhhhh 🤧 ujan nya awet wifi lemot pisan 😠,BukanSarkas
@Hahahihi_sukses Telkomsel juga jaringan nya nyebelin kak 😭,BukanSarkas
JARINGAN AAA AYO DONG BISA DIAJAK KOMPROMI,Sarkasme
"Lemot kaya apa tau ni jaringan
Bergaya mau 5g",BukanSarkas
"Padahal dulu sering deh urang jaringan gini, kenapa terasa lama banget anjir lod nya",BukanSarkas
"Jaringan dah macam kpopers, HSPA",Sarkasme
Kok lemot ya jaringan aku @IndiHome,BukanSarkas
"Jaringan woi jaringaaaaaaaan....
Dah seminggu neeh https://t.co/8BtJpuHfp8",Sarkasme
plis banget dah jaringan tri jangan bikin gua kecewa,BukanSarkas
JARINGAN GUE JELEK. BARU KE KIRIM.,BukanSarkas
"kenceng ko ini jaringan nya ka trs memo nya bener bener masii banyak ttp gabisa, kek nya emang ga support dari hp nya deh :(",BukanSarkas
Jaringan gue ternyata hehew,BukanSarkas
"wahh lumayan capek. Presentasiku agak berantakan gara-gara jaringan, pptku juga gak di terima sama guru akhirnya disuruh bikin ulang, yaudah dehh",BukanSarkas
Oh gitu yaa kukira jaringan yg bermasalah:(,BukanSarkas
"Keluar duluu, aku sering begitu kalau jaringan lagi agak jelek",BukanSarkas
"Oh haii
Sip, ternyata jaringan ga ngelag",BukanSarkas
"aku gabisa bikin sg, gabisa komen, trs ada tulisan apasi kek gada jaringan gitu",BukanSarkas
"error masa, gabisa ngeload.padahal jaringan aman",BukanSarkas
"Oalah itu lagi ngedown yak
Aku kira jaringan wifi aku yg bermasalah ",BukanSarkas
"Iya nih, cukup jaringan aja yg hilang kamu jangan",BukanSarkas
"Dosen ku kalo diem diem langsung out zoom, trs tiba tiba di grup wa ""sepertinya kita sudahi sampai disini saja, jaringan saya sedang buruk"" ",BukanSarkas
Tak pikir jaringan lagi elek  ternyata memang lagi error yak.,BukanSarkas
"Sering. Malah mendingan gaada jaringan sekalian, kan jadinya ga di pehapein.",BukanSarkas
"Kayaknya iya deh, padahal jaringan bagus tapi gabisa buat scroll atau liat feed orang",BukanSarkas
Dari siang juga. Padahal udah misuh2 sama jaringan wkwk,Sarkasme
"Eh sama, kirain jaringan internet aku yg jelek",BukanSarkas
"down tah? pantesan, gue kira jaringan gue rada-rada",BukanSarkas
"Tuhaaann... Gabisa mer, ini jaringan yg ngadet ",BukanSarkas
pantesn ya drtd lemot bgt gila pdhl jaringan gua bagus mulus kek jalan tol yang indah sentosa luar biasa hadeh,Sarkasme
"iya:( 
tadinya kukira gara-gara jaringan, eh ternyata pas buka yang lain lancar-lancar aja",Sarkasme
kek gada jaringan gtu dahal sinyal nya normal,BukanSarkas
"twitnya agak lemot maybe karena jaringan, gue juga suka gitu",BukanSarkas
"Standar estimasi penanganannya 3 hari yak provider? Itu emang udah SLAnya?
Ini jaringan internet loh, yg tiap hari digunakan yg tiap bulan isi pulsa beli paket. 
Ya semoga lebih baik ke depannya, jgn disuruh sehat dijaringan yg sakit",Sarkasme
"Anjeng lah gua juga mungkin malam minggu baru bisa on full malam ini slancar ae, kalau jaringan ngga sibuk",BukanSarkas
Gws :(( jaringan nya ya kayaknya,BukanSarkas
"Oh down, gue kira jaringan",BukanSarkas
saya sdh berusaha sekuat tangan dan jaringan sy,BukanSarkas
Berarti tinggal sruggle sama jaringan wkwkw aku di hp kadang lemot bgtt heuheu,Sarkasme
"Siang, Rose. Laporan pada jaringan koneksinya, Ani cek di nomor internet **64 jaringan tidak stabil, dikarenkan jumlah device yang terhubung sudah melebihi batas optimum. Ani sarankan Kakak untuk... https://myih.ch/t/89AoR35",BukanSarkas
"tadi hampir buka link nya,syukur jaringan ngelag jadi ga kebuka",BukanSarkas
"iya, jaringan gue lagi jelek nanti gue on auto fb.",BukanSarkas
"iya kayaknya, tadi tiba"" kayak gak ada jaringan",BukanSarkas
"Mohon dikabarkan secepatnya ya, soalnya jaringan internet sangat dibutuhkan untuk wfh.",BukanSarkas
"Kenapa jaringan sering error, giliran dikomplain jawabnya kek make template",BukanSarkas
"serius tanya, kalian yang log in fannstar lewat web lemot gitu gasi? apa ini karna jaringan akunya ya? soalnya dari semalem bener bener lama banget load nya",BukanSarkas
"Apakah jaringan ini hanya berdampak bagi yg memiliki koneksi hp 5G, atau semua lingkungan sekitar menara 5G",BukanSarkas
aku drtd gabisa login ig kirain teh jaringan yg bermasalah eh taunya,BukanSarkas
"dua minggu lalu juga, gangguan jaringan, blm termasuk yg ada aja on off nya, pas wayahnya orang wfh ...",BukanSarkas
klo jaringan masalah aku gabisa ngetwt dong :),BukanSarkas
